out X,out Y
6.557337327292566e-06,0.1762839420516851
6.581050097954194e-06,0.1736578349064633
6.606616017475022e-06,0.1705900960009653
6.634411699303739e-06,0.1671065666344574
6.664161069410908e-06,0.1633623186307854
6.694672380337851e-06,0.1596972574872196
6.72424891497305e-06,0.1565354560369118
6.751865500022815e-06,0.1541521080582124
6.777742984028191e-06,0.1526087958493386
6.803098402093737e-06,0.1518894596937337
6.830252566243341e-06,0.1520728963768023
6.864684185156063e-06,0.1536457285646106
6.901222706624464e-06,0.1565552550714038
6.928422834964156e-06,0.1592149284042278
6.951211572572928e-06,0.1615297425085866
6.972895708406754e-06,0.1636252948642448
6.994264388065665e-06,0.1654532806994406
7.016590726325047e-06,0.1670071968885682
7.041797501799876e-06,0.168245063580282
7.073602019332151e-06,0.1689906574775674
7.113746924071571e-06,0.1687392237263683
7.15637626027611e-06,0.1672961594069925
7.194025389099999e-06,0.1652881311814359
7.229886388156404e-06,0.162991409057528
7.265562365178822e-06,0.1605781735189278
7.300946364617766e-06,0.1582894545284221
7.336247551711996e-06,0.1563285814496555
7.372059956481072e-06,0.1548650815781399
7.409869897763573e-06,0.1540481195182854
7.454399504617975e-06,0.1540941107916578
7.502064398430024e-06,0.1551464459263876
7.548764915041183e-06,0.1567627895572089
