/vout X,/vout Y,/dac_out X,/dac_out Y,/I5/PM0/D X,/I5/PM0/D Y,/I5/vbody X,/I5/vbody Y
2.090914445164671e-09,0.992801046207766,2.090914445164671e-09,0,2.090914445164671e-09,1.295340562586673e-07,2.090914445164671e-09,0.7083156860628754
2.272419435597245e-09,0.9929550044607075,2.272419435597245e-09,0,2.272419435597245e-09,4.865389937153847e-08,2.272419435597245e-09,0.7168198066008952
2.326099426524258e-09,0.9929938267142532,2.326099426524258e-09,0,2.326099426524258e-09,2.990676821051661e-08,2.326099426524258e-09,0.7190336310435375
2.352939421987764e-09,0.9930123353998747,2.352939421987764e-09,0,2.352939421987764e-09,2.119514532303347e-08,2.352939421987764e-09,0.7200960547851808
2.406619412914777e-09,0.9930478701256487,2.406619412914777e-09,0,2.406619412914777e-09,4.843038392002662e-09,2.406619412914777e-09,0.7221476476099313
2.442586578146929e-09,0.9930706983456935,2.442586578146929e-09,0,2.442586578146929e-09,-5.563128807936371e-09,2.442586578146929e-09,0.7234705317693029
2.457091945560609e-09,0.9930797402110563,2.457091945560609e-09,0,2.457091945560609e-09,-9.862171315898702e-09,2.457091945560609e-09,0.7239920934625753
2.486102680387967e-09,0.9930973443457389,2.486102680387967e-09,0,2.486102680387967e-09,-1.742830441889343e-08,2.486102680387967e-09,0.7250182764111454
2.544124150042684e-09,0.9931310671885546,2.544124150042684e-09,0,2.544124150042684e-09,-3.16585965275085e-08,2.544124150042684e-09,0.7270047546199838
2.660167089352118e-09,0.993193471403804,2.660167089352118e-09,0,2.660167089352118e-09,-5.671931466909276e-08,2.660167089352118e-09,0.7307373516313818
2.892252967970986e-09,0.9933020022776713,2.892252967970986e-09,0,2.892252967970986e-09,-9.648557656399124e-08,2.892252967970986e-09,0.7374049408487041
3.269214649537511e-09,0.9934447295543839,3.269214649537511e-09,0,3.269214649537511e-09,-1.414691826589508e-07,3.269214649537511e-09,0.7465195882904159
3.693462279902119e-09,0.9935717254821249,3.693462279902119e-09,0,3.693462279902119e-09,-1.744846132197706e-07,3.693462279902119e-09,0.7549138024612358
4.174914057761892e-09,0.9936886311228783,4.174914057761892e-09,0,4.174914057761892e-09,-1.990171250097429e-07,4.174914057761892e-09,0.7627481142528001
4.744438654877959e-09,0.9938042395848663,4.744438654877959e-09,0,4.744438654877959e-09,-2.178564266221226e-07,4.744438654877959e-09,0.7704006511833265
5.415259557767117e-09,0.9939216010723553,5.415259557767117e-09,0,5.415259557767117e-09,-2.318617433016573e-07,5.415259557767117e-09,0.7778544375822642
6.208817946786682e-09,0.9940451211489268,6.208817946786682e-09,0,6.208817946786682e-09,-2.418021263860708e-07,6.208817946786682e-09,0.7851587513294281
7.153944048788533e-09,0.9941797779667294,7.153944048788533e-09,0,7.153944048788533e-09,-2.481973432619448e-07,7.153944048788533e-09,0.7923720751186595
