/vout X,/vout Y,/I5/PM0/D X,/I5/PM0/D Y
1.737547859087484e-07,0.9912379245655121,1.737547859087484e-07,-4.513945866591646e-07
1.835999336435628e-07,0.9931262844692124,1.835999336435628e-07,-3.55460756875423e-07
1.945756954948229e-07,0.9947676819541809,1.945756954948229e-07,-2.714724573681611e-07
2.043018004032863e-07,0.995894765284548,2.043018004032863e-07,-2.134769494275079e-07
2.237540102202131e-07,0.9975075994588196,2.237540102202131e-07,-1.300266070751451e-07
2.377634670706613e-07,0.9982688947995962,2.377634670706613e-07,-9.044801715295136e-08
2.512156715034151e-07,0.9987793388523487,2.512156715034151e-07,-6.384310712592846e-08
2.675831030174479e-07,0.9992053672993874,2.675831030174479e-07,-4.159638575902138e-08
2.865571548141627e-07,0.9995225454820871,2.865571548141627e-07,-2.500910189844548e-08
3.08960387822833e-07,0.9997450598595788,3.08960387822833e-07,-1.335986068166094e-08
3.159132622037308e-07,0.999787598752288,3.159132622037308e-07,-1.113166066534258e-08
3.298190109655265e-07,0.9998519605745038,3.298190109655265e-07,-7.759640845471711e-09
3.332954481559754e-07,0.9998642963393646,3.332954481559754e-07,-7.113251811638615e-09
3.402483225368732e-07,0.9998858584561561,3.402483225368732e-07,-5.983328677009031e-09
3.419865411320977e-07,0.9998906468319368,3.419865411320977e-07,-5.732389489856307e-09
